obs,FX1,FX2,VX1,VX2,Y1,Y2,U1
1,88,682,4,6,2913,3044,2458
2,117,1518,6,11,7721,7972,3093
3,92,1100,5,8,6080,10667,1810
4,74,451,4,6,3315,4005,18
5,107,1034,7,9,19212,508,814
6,95,935,6,10,22516,10881,5464
7,87,468,5,13,14188,12655,501
8,79,572,6,11,3350,8678,1604
9,77,572,5,11,4193,11153,9764
10,82,528,6,6,753,4443,867
11,75,440,5,8,1570,9669,5905
12,82,594,5,10,8947,9113,624
13,91,1056,6,6,5252,52,2179
14,101,935,5,7,4282,694,778
15,95,935,6,11,3616,310,3947
16,91,660,5,5,444,11290,4257
17,82,594,5,9,895,11238,546
18,80,770,5,13,7731,0,621
19,80,468,5,8,5816,3348,13268
20,96,616,5,9,11978,21,1756
21,77,385,3,7,46,10809,19105
22,77,440,5,9,5482,61,2147
23,83,622,6,8,6,9176,40625
24,83,742,6,6,13,7235,16723
25,85,880,6,6,1456,72,909
26,83,572,6,7,8,4908,26921
27,93,1034,6,8,1922,374,298
28,77,578,5,9,10193,7,2938
29,91,1056,6,10,10439,161,4233
30,96,561,5,11,10818,33,89
31,75,539,3,8,90,8025,12620
32,80,495,5,7,218,11707,12517
33,77,572,5,9,10331,309,2243
34,93,935,6,8,12447,0,618
35,87,468,5,10,11840,56,3843
36,80,957,6,5,2219,0,595
37,81,468,5,11,12338,1583,735
38,80,770,5,8,14305,0,2058
39,80,1045,6,7,2743,10046,62
40,81,468,5,11,14204,11,7044
41,79,838,5,7,9865,3515,2961
42,91,853,6,8,27964,7986,403
43,92,622,5,13,13242,161,2011
44,83,836,5,9,13727,82,5282
45,79,572,5,13,12396,25422,3552
46,80,495,5,11,8600,6616,585
47,91,1375,5,11,15805,179,3496
48,83,554,5,11,12909,7865,640
49,94,990,6,6,24691,728,109
50,91,792,6,13,7445,256,2046
51,94,682,5,13,22404,516,1030
52,84,622,5,8,13936,11229,396
53,83,622,5,15,28503,823,224
54,74,468,5,10,8680,2502,590
55,77,572,5,9,6376,0,412
56,86,578,5,5,3790,0,661
57,77,411,5,4,120,120,523
58,81,468,5,5,5552,0,995
59,72,622,5,7,7943,1,1229
60,76,737,4,11,9919,4614,3764
61,91,660,6,9,8185,4721,1819
62,93,1034,6,9,14813,8035,674
63,79,468,5,11,2350,3882,6145
64,87,770,6,8,757,2633,94
65,88,688,5,11,8765,1559,1683
66,83,836,5,5,2029,7667,144
67,73,495,4,7,136,10063,1496
68,86,1100,5,9,10031,4453,3268
69,92,935,6,5,4592,74,646
70,88,715,5,8,42087,973,52
71,49,330,3,2,48,267,9
72,94,1408,5,10,57186,5692,1095
73,81,468,5,10,2029,3961,13842
74,85,737,5,14,14979,464,3809
75,91,841,5,13,9669,8700,7111
76,88,688,5,15,16548,196,3237
77,80,1045,6,10,26555,8308,5801
78,82,638,5,8,3123,5474,19
79,91,1375,5,10,34570,1881,1406
80,92,1100,5,8,9576,8178,459
81,81,825,5,6,21176,742,376
82,92,935,6,9,6937,5438,5591
83,83,622,6,6,504,8300,3491
84,81,825,5,10,5453,4586,2849
85,85,737,5,8,9618,4926,3706
86,81,825,5,9,12874,7771,6009
87,91,841,5,13,15476,1534,3757
88,94,682,5,11,20181,110,788
89,77,578,4,8,7441,6059,833
90,93,935,6,8,10164,4755,5145
91,77,440,5,11,12614,6266,2038
92,86,578,5,7,12775,1823,60
93,83,572,5,10,12265,7568,6723
94,83,622,5,9,10146,6004,378
95,81,468,5,8,3112,6779,2478
96,69,402,5,7,9100,1060,3836
97,82,776,6,7,17125,1424,4124
98,92,572,5,9,6681,7097,285
99,83,572,6,8,6687,9943,804
100,82,572,5,8,3485,5601,412
101,82,495,6,10,4791,6247,947
102,83,836,5,11,15827,15665,5594
103,91,1375,6,8,39566,983,362
104,74,401,3,6,4626,0,326
105,83,742,6,11,28146,9301,2282
106,92,622,5,13,15579,5862,1843
107,96,616,5,9,4326,8317,2567
108,82,440,5,11,9058,8213,4623
109,82,638,5,10,10341,5269,1410
110,75,583,4,7,34,1523,5199
111,92,935,5,9,10982,1058,5906
112,95,935,5,11,14330,5228,507
113,91,792,5,8,8140,7761,2969
114,83,572,5,10,5504,5466,2121
115,77,402,5,8,7887,2717,2794
116,94,990,7,9,21756,8104,1763
117,72,576,5,8,284,8210,1415
118,92,622,5,10,1569,4487,4735
119,82,776,5,9,3162,6279,5246
120,73,495,3,8,3064,5238,2675
121,82,572,5,10,9782,6285,348
122,82,440,6,9,144,3966,3410
123,82,594,5,10,26844,6,743
124,91,660,6,8,1072,6365,744
125,83,742,5,11,12039,2957,1818
126,88,715,5,9,16,9015,4974
127,81,468,5,7,21,4438,4187
128,88,682,4,8,2953,11,396
129,74,396,4,8,3650,313,2726
130,94,1408,5,14,12812,283,2714
131,83,554,5,10,3156,9661,345
132,92,935,5,9,12009,6830,541
133,83,622,6,11,12321,5434,3068
134,80,468,5,9,1980,5866,2316
135,95,935,5,5,28342,1483,161
136,84,622,5,8,1647,5900,2748
137,79,572,5,11,7610,5820,4112
138,82,776,5,10,896,8717,9129
139,70,554,5,13,10615,129,1337
140,79,572,5,13,8531,7801,4073
141,79,468,5,10,291,7234,6772
142,83,572,5,10,555,5229,15802
143,77,402,5,10,399,9296,10920
144,75,495,4,11,12897,4065,1638
145,83,742,5,10,22799,6447,863
146,75,440,7,8,23,6799,11963
147,90,616,5,10,17200,6132,1123
148,96,616,5,8,4543,5729,5132
149,72,576,5,10,2012,6674,5664
150,49,330,3,3,130,0,61
151,83,622,6,10,2291,5681,17164
152,82,594,5,10,23473,176,1554
153,91,402,5,9,421,6872,1116
154,81,468,5,9,2226,6167,88
155,91,1375,6,9,10004,13381,265
156,93,743,5,8,176,6716,8047
157,91,792,5,9,328,6402,6361
158,72,578,5,9,30451,381,1519
159,77,578,5,9,10227,5733,15889
160,91,841,5,11,18205,6027,9607
161,91,402,5,9,13940,2029,4891
162,72,578,5,5,5132,0,122
163,83,742,5,10,15984,6742,3176
164,82,704,5,9,6390,6525,615
165,88,715,5,9,6834,0,1489
166,90,616,5,9,22397,5726,1904
167,81,825,5,9,5295,4475,1237
168,70,554,5,8,30738,6,3109
169,83,622,6,10,10274,3590,5585
170,96,687,4,8,3249,6837,2207
171,91,792,6,10,5892,4240,8389
172,92,622,5,10,6778,6364,6355
173,77,578,5,10,8190,2485,8293
174,82,594,5,10,20981,0,171
175,91,402,5,6,222,4272,433
176,92,935,5,10,8975,5185,1705
177,82,594,5,6,6295,0,75
178,82,561,4,9,114,4191,4364
179,82,528,4,8,20190,2024,768
180,91,660,5,9,8334,4570,1136
181,79,770,5,9,7415,146,1115
182,80,468,5,6,1499,4967,339
183,83,578,5,7,1921,6114,733
184,96,687,4,5,0,11190,308
185,93,935,6,9,8660,53,0
186,91,1375,6,10,25644,6387,2530
187,49,330,2,2,19,311,101
188,81,468,5,10,2654,2864,692
189,77,440,5,7,8668,7527,10897
190,94,990,6,9,20271,5725,1096
191,80,770,5,6,7030,5210,550
192,83,572,6,6,2400,3360,0
193,82,671,5,9,6222,5798,1482
194,77,578,5,9,1794,5452,123
195,70,554,5,7,12289,0,746
196,92,1100,5,9,2819,7207,116
197,83,572,6,6,8081,2418,250
198,82,594,5,7,4072,457,1133
199,82,495,6,7,1588,4318,10
200,88,935,5,11,11628,3532,4235
201,91,1375,6,10,39268,802,562
202,96,687,4,5,0,8507,2049
203,77,572,5,9,7544,12033,14207
204,94,682,5,8,40923,88,164
205,93,1034,6,7,10736,1706,1068
206,83,622,5,8,6795,7429,1414
207,91,792,5,8,10344,5230,3457
208,72,576,6,8,4498,7834,3026
209,92,935,5,9,12052,1927,375
210,83,572,5,8,21385,12125,570
211,75,440,5,5,841,8351,1540
212,77,572,5,11,11195,11472,2832
213,95,935,6,10,41807,4433,807
214,96,616,5,8,10285,1574,78
215,80,770,5,13,8919,853,1430
216,91,660,6,8,9367,10938,1180
217,80,770,5,10,13613,2276,664
218,79,838,6,9,12489,13217,10723
219,81,440,5,7,16748,3737,28
220,90,616,5,8,5920,9656,4182
221,75,402,4,5,7,8465,2871
222,82,561,4,4,6,8532,4548
223,77,578,4,5,5152,5664,325
224,77,411,5,5,32,8634,2732
225,94,990,6,8,21500,5719,2009
226,83,622,6,9,7469,10466,996
227,83,836,6,6,49,8648,258
228,85,853,4,11,17827,851,624
229,91,402,6,7,1734,80,2111
230,81,825,5,5,1394,8293,251
231,80,468,5,7,937,10061,657
232,87,523,4,5,60,9072,6679
233,75,402,4,6,1817,14737,581
234,94,1408,5,10,20826,4421,5395
235,79,572,5,9,6902,10934,6959
236,92,622,6,13,13204,4953,2342
237,91,622,5,9,1710,0,523
